##ProgramName=RareMetalWorker
##Version=4.13.6
#CHROM	CURRENT_POS	MARKERS_IN_WINDOW	COV_MATRICES
9	400093835	400093835,400306915,400958485,400959725,400978905,	0.362611,-0.0869214,0.00565647,-0.0065795,-0.000774368,
9	400306915	400306915,400958485,400959725,400978905,	0.30402,0.000261691,0.0267547,-0.00185246,
9	400958485	400958485,400959725,400978905,401693155,	0.0132438,-0.000467423,-0.000123285,0.00111883,
9	400959725	400959725,400978905,401693155,	0.0297246,-1.03359e-05,0.010547,
9	400978905	400978905,401693155,401965985,401966145,	0.00453011,0.00118791,-0.000884588,-7.56459e-05,
9	401693155	401693155,401965985,401966145,401979115,401999015,402256335,	0.374447,0.0554522,-0.0109081,0.0838138,0.0838138,0.0858884,
9	401965985	401965985,401966145,401979115,401999015,402256335,	0.165885,-0.000409238,0.0526559,0.0526559,0.0508005,
9	401966145	401966145,401979115,401999015,402256335,	0.0326758,-0.0140767,-0.0140767,-0.0144027,
9	401979115	401979115,401999015,402256335,	0.305924,0.305924,0.30031,
9	401999015	401999015,402256335,	0.305924,0.30031,
9	402256335	402256335,	0.318692,
9	403308615	403308615,403630075,403639035,403639135,403642675,404200705,404212935,404239665,404278905,	0.0173045,-0.00124175,-0.000846226,-0.00174328,-0.000828905,-0.000613102,-0.00042933,-6.17225e-05,-0.000933012,
9	403630075	403630075,403639035,403639135,403642675,404200705,404212935,404239665,404278905,404472445,	0.298789,-0.0190672,0.287987,-0.0109971,-0.00662723,-0.00570395,0.000971238,-0.040578,0.030857,
9	403639035	403639035,403639135,403642675,404200705,404212935,404239665,404278905,404472445,	0.0670708,-0.0176983,0.00252012,-0.00402187,-0.00144652,-0.000195896,0.000478958,-0.000995628,
9	403639135	403639135,403642675,404200705,404212935,404239665,404278905,404472445,	0.313959,-0.0121288,-0.00823208,-0.00638203,0.000804522,-0.0470052,0.0270684,
9	403642675	403642675,404200705,404212935,404239665,404278905,404472445,	0.0390036,-0.000963741,-0.000672352,-0.000132321,-0.00911283,0.0224886,
9	404200705	404200705,404212935,404239665,404278905,404472445,405029305,405199225,	0.0612163,-0.000532047,-0.000135751,0.0401963,-0.00533962,-0.000295843,-0.000295843,
9	404212935	404212935,404239665,404278905,404472445,405029305,405199225,	0.0155055,7.03521e-06,-0.00235189,-0.000141262,-8.1256e-06,-8.1256e-06,
9	404239665	404239665,404278905,404472445,405029305,405199225,	0.00234792,-0.000943311,-0.000495505,-2.156e-05,-2.156e-05,
9	404278905	404278905,404472445,405029305,405199225,	0.290351,-0.0274099,0.000392983,0.000392983,
9	404472445	404472445,405029305,405199225,405415015,	0.129552,0.0053221,0.0053221,0.00185027,
9	405029305	405029305,405199225,405415015,405804935,405819755,405820735,	0.00464476,0.00464476,-3.92992e-05,-5.09777e-05,9.99928e-06,-3.92992e-05,
9	405199225	405199225,405415015,405804935,405819755,405820735,	0.00464476,-3.92992e-05,-5.09777e-05,9.99928e-06,-3.92992e-05,
9	405415015	405415015,405804935,405819755,405820735,	0.00234855,-1.91652e-05,-6.22975e-06,0.00234855,
9	405804935	405804935,405819755,405820735,	0.00234914,-1.99455e-05,-1.91652e-05,
9	405819755	405819755,405820735,	0.0284749,-6.22975e-06,
9	405820735	405820735,	0.00234855,
9	407290835	407290835,407324475,407459555,407629025,	0.0348921,-0.000328132,-0.000215838,-0.00052615,
9	407324475	407324475,407459555,407629025,	0.0113025,3.19318e-05,-1.11425e-05,
9	407459555	407459555,407629025,408343815,	0.00452896,-7.33352e-05,1.4884e-06,
9	407629025	407629025,408343815,	0.00899632,-1.88379e-05,
9	408343815	408343815,408777395,408869805,409008525,409009985,409010375,409014835,409019925,409038015,409293505,	0.00233849,-3.63726e-05,-8.7605e-05,0.000432476,-0.000788341,-3.32262e-05,-0.00131065,-1.72904e-05,5.1303e-06,-0.000156237,
9	408777395	408777395,408869805,409008525,409009985,409010375,409014835,409019925,409038015,409293505,409470635,	0.00665026,-0.000762967,0.000266118,-0.00215276,1.36397e-05,-0.00130336,-4.64657e-05,-2.95572e-05,-0.00217021,-0.00224604,
9	408869805	408869805,409008525,409009985,409010375,409014835,409019925,409038015,409293505,409470635,	0.0953325,0.0117837,-0.00808439,-0.000535339,-0.0236532,0.00148414,-0.000602759,-0.0409592,-0.008978,
9	409008525	409008525,409009985,409010375,409014835,409019925,409038015,409293505,409470635,	0.142799,0.0251065,1.46382e-05,0.0438214,0.00124599,0.00105321,-0.037691,0.0246069,
9	409009985	409009985,409010375,409014835,409019925,409038015,409293505,409470635,	0.204833,-0.00457437,0.1495,-0.00189627,0.00056713,0.114694,0.197248,
9	409010375	409010375,409014835,409019925,409038015,409293505,409470635,	0.0284749,-0.0112483,-0.00033564,-9.0616e-05,0.0167693,-0.0049058,
9	409014835	409014835,409019925,409038015,409293505,409470635,	0.333667,0.00523423,-0.000671021,0.238018,0.14168,
9	409019925	409019925,409038015,409293505,409470635,	0.00690143,1.38199e-05,0.00256587,-0.0020976,
9	409038015	409038015,409293505,409470635,	0.00470139,-0.0018422,0.000538066,
9	409293505	409293505,409470635,	0.390196,0.118147,
9	409470635	409470635,410385615,	0.205391,0.0162349,
9	410385615	410385615,410893775,410970115,411110565,411142565,411180435,411198685,411284025,411353635,	0.386929,-0.0242552,-0.00769835,0.0103864,0.0106122,0.00979428,-0.0484139,-0.0309586,-0.021274,
9	410893775	410893775,410970115,411110565,411142565,411180435,411198685,411284025,411353635,411734455,	0.0433223,0.0123201,0.0225668,-0.00148407,0.0203388,-0.00487467,0.00382475,0.0261438,-0.000637549,
9	410970115	410970115,411110565,411142565,411180435,411198685,411284025,411353635,411734455,	0.012956,0.00429661,-0.000410474,0.00466554,-0.00164168,0.00254112,-0.000749637,-0.000213729,
9	411110565	411110565,411142565,411180435,411198685,411284025,411353635,411734455,412060475,412110435,	0.371995,0.00645122,0.299918,-0.035414,-0.0236133,0.0181456,0.00528837,-0.00133071,0.0182137,
9	411142565	411142565,411180435,411198685,411284025,411353635,411734455,412060475,412110435,	0.0194609,0.00941105,-0.00300148,0.000308367,-0.00122496,-0.000507996,-0.000328191,-0.00400536,
9	411180435	411180435,411198685,411284025,411353635,411734455,412060475,412110435,	0.356824,-0.0376422,-0.0264203,0.0138917,0.00761476,-0.00520209,0.0529799,
9	411198685	411198685,411284025,411353635,411734455,412060475,412110435,	0.0908736,0.00179692,-0.00260267,-0.00102036,-0.00296755,-0.0396707,
9	411284025	411284025,411353635,411734455,412060475,412110435,	0.0768527,-0.00193261,-0.00124215,0.0406599,-0.0377433,
9	411353635	411353635,411734455,412060475,412110435,	0.0425316,-0.000738788,-0.00261118,-0.00282056,
9	411734455	411734455,412060475,412110435,412556925,	0.0110496,0.0024248,-0.00449337,-0.000525091,
9	412060475	412060475,412110435,412556925,	0.0967125,-0.0453344,-0.00215257,
9	412110435	412110435,412556925,413065555,413066375,413105585,	0.391114,-0.000967632,0.0178418,-0.00590296,0.104255,
9	412556925	412556925,413065555,413066375,413105585,	0.0190396,-0.000485896,-0.000311088,-0.00632754,
9	413065555	413065555,413066375,413105585,413824635,413831025,	0.0388685,-0.000204393,0.0194169,-0.0009309,-0.000183405,
9	413066375	413066375,413105585,413824635,413831025,	0.00902389,0.00438961,0.00167125,-2.46799e-05,
9	413105585	413105585,413824635,413831025,	0.409097,-0.0100072,-0.00134034,
9	413824635	413824635,413831025,	0.0658961,0.00185418,
9	413831025	413831025,	0.00464971,
9	415181925	415181925,415216255,	0.0206693,-0.00589901,
9	415216255	415216255,	0.312519,
9	416220955	416220955,416509915,417044255,	0.33875,-0.138458,-0.000134761,
9	416509915	416509915,417044255,417345475,	0.423025,0.00104906,0.028952,
9	417044255	417044255,417345475,	0.00470755,0.000905675,
9	417345475	417345475,	0.407367,
9	418478475	418478475,418693795,419032075,419165365,419200175,419324615,419370825,419382095,419392845,419442245,419442575,419476225,	0.0351616,-0.0197381,0.0146904,0.000544329,-0.00123335,-0.000409777,-0.0133306,-0.00109399,-0.0149004,-0.0149004,-0.000357081,-0.00577315,
9	418693795	418693795,419032075,419165365,419200175,419324615,419370825,419382095,419392845,419442245,419442575,419476225,	0.339603,0.179212,0.0479915,0.0044854,0.0060077,-0.163289,0.0197282,-0.18443,-0.18443,0.00287923,-0.00416457,
9	419032075	419032075,419165365,419200175,419324615,419370825,419382095,419392845,419442245,419442575,419476225,	0.313269,0.0921825,0.000149121,0.00649919,-0.290879,0.0267529,-0.306,-0.306,0.00440106,-0.0350086,
9	419165365	419165365,419200175,419324615,419370825,419382095,419392845,419442245,419442575,419476225,	0.213408,-0.00669097,0.0023463,-0.0829489,-0.00974597,-0.0924747,-0.0924747,-0.00414683,0.0770589,
9	419200175	419200175,419324615,419370825,419382095,419392845,419442245,419442575,419476225,	0.031134,-7.78692e-05,0.00100147,-0.00166436,0.00380969,0.00380969,-0.000785535,0.0147649,
9	419324615	419324615,419370825,419382095,419392845,419442245,419442575,419476225,	0.014009,-0.00539558,-0.00183967,-0.0061635,-0.0061635,1.53745e-05,0.0093372,
9	419370825	419370825,419382095,419392845,419442245,419442575,419476225,	0.318879,-0.023377,0.298715,0.298715,-0.00380572,0.0259994,
9	419382095	419382095,419392845,419442245,419442575,419476225,	0.0829227,-0.0264222,-0.0264222,-0.00224266,-0.0353076,
9	419392845	419392845,419442245,419442575,419476225,	0.316051,0.316051,-0.00448039,0.0394758,
9	419442245	419442245,419442575,419476225,	0.316051,-0.00448039,0.0394758,
9	419442575	419442575,419476225,	0.0159198,0.00515612,
9	419476225	419476225,	0.379006,
9	420662665	420662665,420838075,420838365,420858605,421321805,	0.232208,0.0147456,0.208637,0.210608,0.00579581,
9	420838075	420838075,420838365,420858605,421321805,	0.0784893,-0.0619346,-0.0623096,-0.00148096,
9	420838365	420838365,420858605,421321805,	0.282013,0.279327,0.00753575,
9	420858605	420858605,421321805,	0.28171,0.00742866,
9	421321805	421321805,422215945,422311465,	0.017041,6.85903e-05,-0.000532226,
